c dimensions error
62.574179 705.000000 0.143150
463.034510 621.000000 0.144250
24.215318 696.000000 0.144300
13.509604 568.000000 0.144650
247.470385 580.000000 0.144750
131.910774 649.000000 0.144850
82.510951 570.000000 0.145300
9.095247 650.000000 0.145550
17.162839 772.000000 0.145800
136.704043 724.000000 0.145950
9.119858 726.000000 0.146100
148.413159 500.000000 0.146400
33.115452 598.000000 0.146450
403.428793 700.000000 0.146650
554.723622 545.000000 0.147150
19.525739 494.000000 0.147200
60.981017 888.000000 0.147450
33.115452 388.000000 0.147500
41.368763 786.000000 0.147600
73.271223 418.000000 0.147650
7.389056 800.000000 0.147700
13.727678 420.000000 0.147750
5.775821 402.000000 0.148150
42.437076 492.000000 0.148250
7.389056 500.000000 0.148650
2.718282 638.000000 0.149000
20.085537 914.000000 0.149400
148.413159 800.000000 0.149450
8.447752 900.000000 0.149900
54.598150 1000.000000 0.150300
519.851746 782.000000 0.150350
403.428793 866.000000 0.150600
378.006181 428.000000 0.150950
2.718282 469.000000 0.151050
147.971508 366.000000 0.151850
148.413159 933.000000 0.152500
7.389056 1000.000000 0.152550
2.718282 350.000000 0.152650
66.151335 329.000000 0.153600
1096.633158 800.000000 0.153800
2.718282 900.000000 0.154200
1096.633158 407.000000 0.154850
10.019413 320.000000 0.154850
403.428793 1000.000000 0.155900
35.362688 278.000000 0.156750
403.428793 300.000000 0.156900
197.596381 254.000000 0.158550
1.000000 500.000000 0.159500
87.911707 247.000000 0.160800
