h n1 d n2 e err
970.000000 7.000000 0.146714 33.000000 3.000000 0.148700
966.000000 8.000000 0.075543 9.000000 3.000000 0.148850
983.000000 11.000000 0.131248 28.000000 4.000000 0.149500
966.000000 7.000000 0.076868 18.000000 4.000000 0.149750
973.000000 8.000000 0.113436 22.000000 3.000000 0.149800
970.000000 7.000000 0.100485 20.000000 6.000000 0.149800
990.000000 7.000000 0.181548 29.000000 3.000000 0.149950
980.000000 6.000000 0.099460 34.000000 3.000000 0.150000
981.000000 11.000000 0.177531 39.000000 4.000000 0.150200
979.000000 4.000000 0.200477 11.000000 4.000000 0.150200
977.000000 9.000000 0.114253 34.000000 4.000000 0.150250
987.000000 7.000000 0.099510 21.000000 4.000000 0.150250
986.000000 4.000000 0.239104 4.000000 5.000000 0.150300
969.000000 9.000000 0.110872 16.000000 5.000000 0.150350
984.000000 8.000000 0.136220 38.000000 6.000000 0.150350
984.000000 3.000000 0.080652 43.000000 4.000000 0.150400
978.000000 4.000000 0.143384 22.000000 4.000000 0.150450
952.000000 5.000000 0.172204 15.000000 5.000000 0.150550
976.000000 6.000000 0.144227 26.000000 7.000000 0.150550
958.000000 6.000000 0.064865 8.000000 5.000000 0.150600
977.000000 8.000000 0.211288 27.000000 4.000000 0.150600
959.000000 3.000000 0.048490 29.000000 5.000000 0.150650
935.000000 3.000000 0.000657 20.000000 6.000000 0.150700
981.000000 4.000000 0.165425 19.000000 5.000000 0.150750
955.000000 5.000000 0.060901 19.000000 6.000000 0.150800
950.000000 5.000000 0.110891 19.000000 5.000000 0.150800
948.000000 8.000000 0.078258 17.000000 5.000000 0.150850
980.000000 5.000000 0.166983 36.000000 7.000000 0.150850
975.000000 7.000000 0.092103 27.000000 5.000000 0.150850
950.000000 7.000000 0.095996 29.000000 4.000000 0.150950
982.000000 5.000000 0.129042 32.000000 5.000000 0.150950
970.000000 4.000000 0.092903 26.000000 5.000000 0.151000
972.000000 4.000000 0.088447 31.000000 7.000000 0.151000
961.000000 5.000000 0.127069 24.000000 6.000000 0.151050
994.000000 9.000000 0.153268 41.000000 2.000000 0.151100
987.000000 3.000000 0.091341 41.000000 4.000000 0.151150
983.000000 10.000000 0.142474 32.000000 3.000000 0.151150
962.000000 8.000000 0.113860 31.000000 6.000000 0.151250
977.000000 7.000000 0.165361 26.000000 5.000000 0.151250
963.000000 7.000000 0.142580 15.000000 4.000000 0.151350
962.000000 8.000000 0.042161 10.000000 7.000000 0.151350
979.000000 5.000000 0.180067 6.000000 6.000000 0.151500
968.000000 5.000000 0.112525 14.000000 5.000000 0.151500
984.000000 7.000000 0.147449 35.000000 4.000000 0.151500
979.000000 6.000000 0.170255 18.000000 4.000000 0.151600
974.000000 2.000000 0.117122 18.000000 6.000000 0.151600
964.000000 8.000000 0.090945 5.000000 5.000000 0.151600
957.000000 9.000000 0.143106 27.000000 4.000000 0.151600
973.000000 2.000000 0.099249 16.000000 7.000000 0.151700
946.000000 8.000000 0.105150 17.000000 4.000000 0.151700
967.000000 5.000000 0.094839 32.000000 4.000000 0.151750
955.000000 5.000000 0.060232 26.000000 5.000000 0.151750
969.000000 6.000000 0.116884 27.000000 4.000000 0.151750
966.000000 7.000000 0.119416 16.000000 6.000000 0.151800
972.000000 6.000000 0.167979 9.000000 5.000000 0.151850
940.000000 4.000000 0.036627 19.000000 5.000000 0.151850
987.000000 3.000000 0.252065 6.000000 4.000000 0.151850
986.000000 8.000000 0.126693 42.000000 4.000000 0.151900
981.000000 7.000000 0.135057 45.000000 3.000000 0.151900
982.000000 6.000000 0.136153 17.000000 4.000000 0.151900
944.000000 8.000000 0.177410 16.000000 3.000000 0.152000
946.000000 5.000000 0.111196 17.000000 4.000000 0.152000
965.000000 4.000000 0.128795 12.000000 5.000000 0.152000
929.000000 7.000000 0.101675 23.000000 5.000000 0.152050
976.000000 3.000000 0.107824 22.000000 5.000000 0.152100
986.000000 7.000000 0.124607 36.000000 3.000000 0.152150
907.000000 8.000000 0.088970 20.000000 4.000000 0.152150
984.000000 6.000000 0.103306 47.000000 6.000000 0.152150
975.000000 6.000000 0.132405 30.000000 6.000000 0.152150
980.000000 4.000000 0.118760 36.000000 5.000000 0.152200
975.000000 6.000000 0.275122 12.000000 4.000000 0.152200
977.000000 4.000000 0.114800 45.000000 8.000000 0.152250
967.000000 3.000000 0.095455 24.000000 5.000000 0.152250
968.000000 7.000000 0.298370 16.000000 4.000000 0.152300
984.000000 6.000000 0.123008 35.000000 3.000000 0.152350
980.000000 5.000000 0.168661 23.000000 6.000000 0.152350
966.000000 8.000000 0.100153 23.000000 3.000000 0.152400
964.000000 6.000000 0.131144 24.000000 5.000000 0.152400
961.000000 6.000000 0.057514 25.000000 6.000000 0.152450
959.000000 7.000000 0.201515 23.000000 4.000000 0.152450
967.000000 8.000000 0.082541 19.000000 5.000000 0.152450
944.000000 4.000000 0.032101 19.000000 7.000000 0.152500
991.000000 4.000000 0.136343 52.000000 10.000000 0.152500
968.000000 6.000000 0.260535 13.000000 3.000000 0.152550
980.000000 7.000000 0.163407 32.000000 5.000000 0.152550
968.000000 6.000000 0.165173 9.000000 5.000000 0.152550
969.000000 7.000000 0.095004 18.000000 7.000000 0.152600
972.000000 6.000000 0.223515 24.000000 5.000000 0.152600
979.000000 7.000000 0.077902 43.000000 7.000000 0.152600
960.000000 7.000000 0.224292 18.000000 4.000000 0.152600
967.000000 4.000000 0.091472 25.000000 5.000000 0.152600
978.000000 6.000000 0.058097 36.000000 9.000000 0.152650
983.000000 5.000000 0.115765 19.000000 4.000000 0.152650
986.000000 4.000000 0.183122 30.000000 7.000000 0.152650
970.000000 5.000000 0.156232 9.000000 5.000000 0.152650
976.000000 6.000000 0.153456 15.000000 6.000000 0.152650
983.000000 9.000000 0.152269 37.000000 2.000000 0.152700
980.000000 6.000000 0.139291 29.000000 6.000000 0.152700
955.000000 3.000000 0.071077 19.000000 6.000000 0.152700
945.000000 6.000000 0.095559 18.000000 5.000000 0.152700
976.000000 4.000000 0.097817 16.000000 6.000000 0.152750
979.000000 5.000000 0.252934 8.000000 3.000000 0.152750
971.000000 5.000000 0.151614 9.000000 5.000000 0.152750
972.000000 6.000000 0.025814 47.000000 8.000000 0.152800
969.000000 5.000000 0.080526 42.000000 6.000000 0.152800
967.000000 8.000000 0.072612 13.000000 5.000000 0.152850
983.000000 3.000000 0.267555 6.000000 6.000000 0.152850
976.000000 5.000000 0.133728 19.000000 6.000000 0.152850
984.000000 5.000000 0.157147 34.000000 7.000000 0.152900
961.000000 5.000000 0.068542 25.000000 5.000000 0.152900
959.000000 5.000000 0.124808 27.000000 7.000000 0.152950
926.000000 5.000000 0.009722 20.000000 8.000000 0.152950
976.000000 4.000000 0.136817 27.000000 6.000000 0.153000
990.000000 5.000000 0.120071 49.000000 4.000000 0.153000
975.000000 3.000000 0.088399 33.000000 5.000000 0.153000
961.000000 6.000000 0.129247 25.000000 5.000000 0.153000
977.000000 4.000000 0.031029 51.000000 8.000000 0.153050
999.000000 5.000000 0.167625 9.000000 5.000000 0.153050
934.000000 6.000000 0.105299 19.000000 5.000000 0.153050
984.000000 7.000000 0.155061 34.000000 6.000000 0.153050
936.000000 7.000000 0.129437 22.000000 4.000000 0.153050
999.000000 4.000000 0.166397 13.000000 3.000000 0.153100
852.000000 10.000000 0.064095 10.000000 3.000000 0.153100
983.000000 5.000000 0.124809 37.000000 5.000000 0.153150
967.000000 7.000000 0.031123 13.000000 9.000000 0.153150
867.000000 5.000000 0.113019 9.000000 8.000000 0.153150
959.000000 6.000000 0.094967 21.000000 5.000000 0.153200
996.000000 3.000000 0.122729 18.000000 5.000000 0.153200
963.000000 7.000000 0.088218 20.000000 4.000000 0.153250
949.000000 6.000000 0.107513 19.000000 5.000000 0.153250
994.000000 5.000000 0.188733 9.000000 3.000000 0.153250
942.000000 7.000000 0.080641 31.000000 5.000000 0.153250
928.000000 7.000000 0.105373 22.000000 5.000000 0.153250
949.000000 6.000000 0.064894 29.000000 6.000000 0.153300
927.000000 7.000000 0.084653 21.000000 5.000000 0.153300
947.000000 8.000000 0.105377 15.000000 5.000000 0.153300
969.000000 5.000000 0.077464 14.000000 7.000000 0.153300
983.000000 7.000000 0.089692 29.000000 6.000000 0.153350
979.000000 7.000000 0.100392 42.000000 3.000000 0.153400
946.000000 6.000000 0.100277 31.000000 4.000000 0.153400
855.000000 8.000000 0.081881 14.000000 4.000000 0.153450
958.000000 3.000000 0.074544 17.000000 6.000000 0.153450
995.000000 4.000000 0.228465 4.000000 6.000000 0.153500
994.000000 3.000000 0.170289 14.000000 4.000000 0.153550
973.000000 1.000000 0.037530 40.000000 6.000000 0.153600
983.000000 6.000000 0.099330 30.000000 6.000000 0.153600
944.000000 8.000000 0.074493 15.000000 6.000000 0.153600
993.000000 2.000000 0.129560 47.000000 8.000000 0.153650
995.000000 4.000000 0.091164 48.000000 5.000000 0.153650
958.000000 4.000000 0.090010 16.000000 5.000000 0.153650
968.000000 4.000000 0.125721 14.000000 5.000000 0.153650
844.000000 8.000000 0.062543 8.000000 5.000000 0.153700
960.000000 7.000000 0.216636 17.000000 4.000000 0.153700
957.000000 5.000000 0.090569 24.000000 5.000000 0.153700
976.000000 5.000000 0.247840 11.000000 3.000000 0.153750
939.000000 7.000000 0.076672 26.000000 6.000000 0.153750
848.000000 9.000000 0.084710 9.000000 5.000000 0.153800
980.000000 5.000000 0.150817 24.000000 6.000000 0.153800
961.000000 7.000000 0.126982 27.000000 5.000000 0.153800
956.000000 5.000000 0.060166 29.000000 6.000000 0.153850
977.000000 4.000000 0.148381 23.000000 7.000000 0.153900
983.000000 11.000000 0.171931 40.000000 2.000000 0.153900
983.000000 2.000000 0.117331 18.000000 7.000000 0.153950
985.000000 2.000000 0.062807 35.000000 6.000000 0.153950
973.000000 6.000000 0.072789 10.000000 4.000000 0.153950
975.000000 3.000000 0.097850 29.000000 5.000000 0.154000
956.000000 4.000000 0.095155 17.000000 5.000000 0.154000
956.000000 6.000000 0.067472 12.000000 8.000000 0.154050
934.000000 4.000000 0.012282 18.000000 5.000000 0.154050
927.000000 7.000000 0.077112 23.000000 5.000000 0.154050
970.000000 3.000000 0.103750 26.000000 5.000000 0.154150
973.000000 6.000000 0.181466 29.000000 6.000000 0.154150
983.000000 6.000000 0.102865 31.000000 6.000000 0.154200
987.000000 4.000000 0.086440 37.000000 8.000000 0.154200
976.000000 5.000000 0.095531 40.000000 5.000000 0.154200
977.000000 5.000000 0.219330 5.000000 3.000000 0.154250
976.000000 2.000000 0.067072 42.000000 5.000000 0.154250
930.000000 7.000000 0.125082 18.000000 4.000000 0.154250
960.000000 3.000000 0.045192 30.000000 5.000000 0.154300
959.000000 3.000000 0.058291 24.000000 6.000000 0.154300
970.000000 9.000000 0.096951 19.000000 5.000000 0.154300
975.000000 5.000000 0.094128 14.000000 5.000000 0.154350
950.000000 8.000000 0.092406 18.000000 5.000000 0.154350
966.000000 7.000000 0.078787 18.000000 6.000000 0.154350
927.000000 2.000000 0.019729 39.000000 6.000000 0.154400
