h n1 d n2 err
942.000000 10.000000 0.682097 51.000000 0.151850
884.000000 14.000000 0.697556 51.000000 0.152200
926.000000 13.000000 0.660399 21.000000 0.153150
918.000000 7.000000 0.727996 63.000000 0.153450
958.000000 8.000000 0.557559 40.000000 0.153650
877.000000 12.000000 0.753040 44.000000 0.153850
939.000000 12.000000 0.585976 13.000000 0.153950
936.000000 7.000000 0.593639 33.000000 0.154000
968.000000 15.000000 0.576940 11.000000 0.154450
861.000000 13.000000 0.749842 62.000000 0.154500
881.000000 10.000000 0.695551 75.000000 0.154550
944.000000 8.000000 0.409822 57.000000 0.154850
921.000000 6.000000 0.481069 31.000000 0.154850
917.000000 7.000000 0.547806 47.000000 0.154900
938.000000 8.000000 0.668389 46.000000 0.155100
873.000000 9.000000 0.589367 29.000000 0.155200
935.000000 6.000000 0.611968 62.000000 0.155300
861.000000 12.000000 0.682576 76.000000 0.155350
903.000000 12.000000 0.659633 36.000000 0.155400
834.000000 14.000000 0.786304 78.000000 0.155450
925.000000 5.000000 0.474064 50.000000 0.155500
856.000000 10.000000 0.580842 63.000000 0.155550
841.000000 9.000000 0.773733 35.000000 0.155550
874.000000 11.000000 0.707114 59.000000 0.155650
904.000000 5.000000 0.420655 64.000000 0.155650
887.000000 10.000000 0.740278 100.000000 0.155850
874.000000 13.000000 0.699729 23.000000 0.155900
900.000000 13.000000 0.778079 10.000000 0.155900
890.000000 9.000000 0.702281 19.000000 0.155950
909.000000 11.000000 0.612189 52.000000 0.156050
891.000000 11.000000 0.646836 24.000000 0.156200
944.000000 6.000000 0.622442 77.000000 0.156200
980.000000 5.000000 0.591360 82.000000 0.156250
961.000000 6.000000 0.569329 41.000000 0.156250
943.000000 10.000000 0.594187 32.000000 0.156250
942.000000 12.000000 0.545193 27.000000 0.156400
936.000000 10.000000 0.528802 42.000000 0.156500
830.000000 11.000000 0.660943 48.000000 0.156650
859.000000 10.000000 0.694060 30.000000 0.156700
863.000000 6.000000 0.603716 28.000000 0.156750
853.000000 11.000000 0.735480 79.000000 0.156750
932.000000 8.000000 0.459177 38.000000 0.156800
903.000000 6.000000 0.573837 82.000000 0.156800
942.000000 7.000000 0.528954 72.000000 0.156800
899.000000 11.000000 0.557461 35.000000 0.156800
866.000000 15.000000 0.666833 23.000000 0.156850
908.000000 7.000000 0.433198 50.000000 0.156850
888.000000 8.000000 0.652445 57.000000 0.156950
886.000000 6.000000 0.645835 69.000000 0.157100
826.000000 9.000000 0.635437 44.000000 0.157200
896.000000 8.000000 0.598198 71.000000 0.157200
900.000000 8.000000 0.437542 25.000000 0.157200
922.000000 14.000000 0.578172 34.000000 0.157250
878.000000 13.000000 0.588118 12.000000 0.157300
858.000000 9.000000 0.793832 66.000000 0.157300
891.000000 9.000000 0.536307 46.000000 0.157350
863.000000 12.000000 0.522621 44.000000 0.157350
912.000000 10.000000 0.448749 37.000000 0.157350
887.000000 10.000000 0.594770 75.000000 0.157400
824.000000 10.000000 0.733100 70.000000 0.157400
873.000000 8.000000 0.519905 54.000000 0.157400
870.000000 6.000000 0.457048 43.000000 0.157450
900.000000 12.000000 0.489781 31.000000 0.157450
829.000000 7.000000 0.559528 57.000000 0.157450
872.000000 13.000000 0.551039 29.000000 0.157450
933.000000 8.000000 0.594024 59.000000 0.157550
865.000000 9.000000 0.485742 34.000000 0.157550
898.000000 7.000000 0.490989 65.000000 0.157650
920.000000 9.000000 0.543562 25.000000 0.157650
886.000000 9.000000 0.694972 42.000000 0.157700
912.000000 10.000000 0.713287 61.000000 0.157700
883.000000 7.000000 0.527611 34.000000 0.157800
796.000000 8.000000 0.638389 35.000000 0.157800
838.000000 14.000000 0.699474 17.000000 0.157850
785.000000 9.000000 0.579887 29.000000 0.157900
892.000000 8.000000 0.417215 73.000000 0.157900
828.000000 12.000000 0.567179 59.000000 0.157950
844.000000 12.000000 0.774574 91.000000 0.158000
867.000000 10.000000 0.638512 51.000000 0.158000
877.000000 7.000000 0.803110 34.000000 0.158050
865.000000 11.000000 0.571429 19.000000 0.158050
801.000000 14.000000 0.689164 63.000000 0.158100
920.000000 6.000000 0.720819 49.000000 0.158100
837.000000 13.000000 0.620693 29.000000 0.158150
914.000000 9.000000 0.611211 44.000000 0.158150
839.000000 3.000000 0.364219 45.000000 0.158250
837.000000 9.000000 0.665693 60.000000 0.158250
883.000000 9.000000 0.618945 88.000000 0.158250
813.000000 11.000000 0.690152 33.000000 0.158300
834.000000 9.000000 0.626675 19.000000 0.158400
847.000000 8.000000 0.618448 73.000000 0.158450
973.000000 5.000000 0.560072 29.000000 0.158650
936.000000 7.000000 0.778489 81.000000 0.158650
926.000000 8.000000 0.669260 85.000000 0.158650
817.000000 11.000000 0.665404 77.000000 0.158650
785.000000 12.000000 0.730501 62.000000 0.158700
773.000000 9.000000 0.707512 67.000000 0.158750
891.000000 10.000000 0.468311 16.000000 0.158800
811.000000 6.000000 0.481814 37.000000 0.158850
891.000000 5.000000 0.478659 77.000000 0.158950
850.000000 13.000000 0.624561 50.000000 0.158950
801.000000 11.000000 0.575333 41.000000 0.158950
820.000000 10.000000 0.535806 18.000000 0.159000
799.000000 10.000000 0.667912 60.000000 0.159000
798.000000 15.000000 0.669545 19.000000 0.159050
760.000000 11.000000 0.500895 44.000000 0.159050
855.000000 6.000000 0.456668 69.000000 0.159150
869.000000 12.000000 0.443102 66.000000 0.159200
820.000000 14.000000 0.576470 17.000000 0.159200
880.000000 9.000000 0.502333 83.000000 0.159250
853.000000 8.000000 0.518927 67.000000 0.159250
921.000000 4.000000 0.328371 64.000000 0.159350
824.000000 10.000000 0.717018 89.000000 0.159350
875.000000 8.000000 0.616329 40.000000 0.159350
836.000000 7.000000 0.606061 39.000000 0.159350
816.000000 15.000000 0.839611 90.000000 0.159400
864.000000 8.000000 0.408484 39.000000 0.159400
842.000000 7.000000 0.654431 54.000000 0.159400
866.000000 5.000000 0.544763 42.000000 0.159400
856.000000 12.000000 0.485351 21.000000 0.159400
936.000000 11.000000 0.409919 26.000000 0.159400
877.000000 6.000000 0.726377 88.000000 0.159450
769.000000 11.000000 0.770678 43.000000 0.159550
930.000000 7.000000 0.323683 22.000000 0.159600
804.000000 9.000000 0.745031 53.000000 0.159650
873.000000 8.000000 0.730825 74.000000 0.159650
870.000000 7.000000 0.481294 21.000000 0.159700
786.000000 6.000000 0.612365 69.000000 0.159700
785.000000 11.000000 0.579664 23.000000 0.159700
795.000000 12.000000 0.754238 79.000000 0.159750
826.000000 12.000000 0.790319 50.000000 0.159750
824.000000 10.000000 0.507621 32.000000 0.159750
820.000000 12.000000 0.523937 27.000000 0.159750
804.000000 8.000000 0.460012 34.000000 0.159800
909.000000 10.000000 0.491959 61.000000 0.159850
750.000000 9.000000 0.594191 59.000000 0.159850
794.000000 12.000000 0.640964 11.000000 0.159900
875.000000 6.000000 0.588225 54.000000 0.159900
858.000000 7.000000 0.533931 82.000000 0.159900
898.000000 3.000000 0.516622 41.000000 0.159950
862.000000 8.000000 0.715512 91.000000 0.159950
849.000000 5.000000 0.349210 76.000000 0.159950
729.000000 11.000000 0.633087 65.000000 0.159950
773.000000 14.000000 0.631763 38.000000 0.160000
841.000000 8.000000 0.532565 42.000000 0.160000
719.000000 14.000000 0.734468 49.000000 0.160000
858.000000 14.000000 0.469923 25.000000 0.160000
924.000000 13.000000 0.519898 18.000000 0.160050
780.000000 12.000000 0.629138 64.000000 0.160050
877.000000 10.000000 0.467862 45.000000 0.160050
850.000000 11.000000 0.610667 36.000000 0.160100
760.000000 12.000000 0.666028 32.000000 0.160100
797.000000 13.000000 0.696159 44.000000 0.160150
881.000000 5.000000 0.736560 66.000000 0.160200
828.000000 10.000000 0.525477 49.000000 0.160200
910.000000 9.000000 0.314964 40.000000 0.160200
808.000000 4.000000 0.538484 38.000000 0.160250
764.000000 11.000000 0.680509 74.000000 0.160250
791.000000 8.000000 0.558034 48.000000 0.160250
922.000000 10.000000 0.396681 53.000000 0.160300
834.000000 12.000000 0.668894 63.000000 0.160300
805.000000 6.000000 0.432477 83.000000 0.160350
860.000000 9.000000 0.742506 54.000000 0.160350
