dim m oob
4.000000 710.000000 0.846900
2.000000 786.000000 0.845350
4.000000 765.000000 0.845050
7.000000 847.000000 0.844450
10.000000 860.000000 0.844300
8.000000 851.000000 0.843650
14.000000 834.000000 0.842550
14.000000 832.000000 0.840550
2.000000 840.000000 0.840400
19.000000 922.000000 0.837700
20.000000 810.000000 0.835300
20.000000 902.000000 0.835200
30.000000 846.000000 0.828850
33.000000 811.000000 0.828800
27.000000 706.000000 0.828350
31.000000 746.000000 0.827700
34.000000 714.000000 0.825500
49.000000 967.000000 0.825100
57.000000 945.000000 0.823750
43.000000 800.000000 0.823600
48.000000 833.000000 0.823500
61.000000 966.000000 0.823100
50.000000 888.000000 0.822400
53.000000 780.000000 0.821200
